product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
27,Бамия,3481,300,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2019-06-23,2027-08-04,3.57,Pending
28,Шубат,3971,461,Молочные продукты,Способствует улучшению работы пищеварительной системы.,2022-05-13,2023-05-08,4.94,Refunded
29,Картофель,5744,539,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1999-01-04,2011-03-01,0.67,New
30,Масло сливочное,6206,740,Молочные продукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2005-04-10,2022-08-07,2.02,In Stock
31,Чай зеленый,7764,262,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2019-06-11,2029-01-23,1.63,New
32,Сок ананасовый,5878,38,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1995-04-04,2004-05-14,1.62,Backorder
33,Черника,8253,117,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1992-01-03,2013-03-10,3.49,Awaiting Review
34,Масло сливочное,8222,718,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2009-02-12,2014-03-02,4.16,Available for Pickup
35,Кашинская,7404,839,Напитки,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2009-07-07,2028-08-06,0.99,New
36,Консервированные бобы,1349,907,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2020-03-03,2029-02-20,3.75,Refunded
37,Хинкали,5565,197,Мясо,Подходит для использования в рационе людей с повышенным давлением.,2019-04-13,2020-04-02,0.81,Backorder
38,Тан,6870,196,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1997-05-03,2025-09-19,1.2,Awaiting Review
39,Редис,4143,34,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,1993-01-01,2004-10-07,3.98,Returned
40,Адыгейский сыр,4769,513,Молочные продукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2020-04-07,2028-02-04,2.32,Shipping
41,Груша,2007,624,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2022-04-01,2027-04-02,0.82,Out of Stock
42,Тыква,9937,891,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,2014-06-07,2021-01-05,1.18,Pending
43,Лимонад классический,9604,944,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2020-04-04,2021-10-01,1.21,Cancelled
44,Апельсин,7830,13,Фрукты,Идеален для перекусов между основными приемами пищи.,2004-06-06,2022-04-14,3.92,Awaiting Review
45,Каша из перловки,6407,326,Бакалея,Используется в косметологии для ухода за кожей и волосами.,1994-05-01,2025-03-13,1.47,Temporarily Unavailable
46,Черника,9949,18,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,1998-05-18,2009-01-16,3.65,Shipping
47,Простокваша,6559,232,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2018-02-05,2018-10-02,4.94,Delivered
48,BonAqua,3491,905,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2015-02-01,2020-01-05,2.81,Backorder
49,Контейнеры для хранения продуктов,6111,130,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2019-02-22,2024-09-02,0.89,Awaiting Review
50,Мацеста,7528,426,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2010-04-10,2022-07-01,1.4,Awaiting Review
51,Златоустовская,7498,587,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,1993-06-08,2014-03-17,2.38,Sold
52,Банан,8232,970,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,1998-01-09,2010-04-07,1.25,Delivered
53,Белокуриха,4687,946,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1995-01-12,2022-01-13,1.48,In Stock
54,Сервелат,7973,247,Мясо,Отличается натуральным составом и отсутствием искусственных добавок.,2017-03-02,2030-06-05,2.91,Out of Stock
55,Керчь,977,84,Напитки,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2006-06-02,2013-12-27,4.7,In Stock
56,Индюшатина,7825,534,Мясо,Способствует улучшению работы пищеварительной системы.,2004-03-06,2008-02-07,2.4,Refunded
57,Пакеты для пикников,6620,646,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2007-03-17,2022-03-02,1.02,Awaiting Payment
58,Лавровый лист сушеный,2840,689,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2009-09-06,2013-11-05,2.3,Pending
59,Пакеты для школы,9011,278,Товары для дома,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2020-04-21,2021-02-09,4.87,Shipping
60,Пакеты для Дня независимости,2382,702,Товары для дома,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2000-01-02,2021-02-07,0.15,Cancelled
61,Гауда,7328,985,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1995-04-17,1996-04-10,3.1,Refunded
62,Сахар,3297,431,Бакалея,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2009-01-07,2028-03-06,4.75,Refunded
63,Окра,9726,472,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2010-01-13,2024-01-01,2.6,Out of Stock
64,Подставки под горячие блюда,6092,248,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2004-08-01,2024-04-24,1.23,Pending
65,Аква Минерале,1437,660,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,1991-02-08,1999-03-02,1.54,Awaiting Review
66,Термосы,8234,986,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2022-02-25,2023-01-12,2.97,On Backorder
67,Сальтисон,9307,872,Мясо,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1994-02-01,2003-01-22,1.86,Awaiting Review
68,Азовская,3888,486,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1993-01-01,1994-06-14,3.45,Awaiting Review
69,Брынза,9085,403,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2015-01-05,2025-01-15,3.34,Awaiting Payment
70,Растительное масло кукурузное,4803,297,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2018-01-04,2023-08-01,3.97,In Stock
71,Редис,6025,396,Овощи,Служит основой для создания множества кулинарных шедевров.,2018-04-08,2020-02-04,1.59,Temporarily Unavailable
72,Пакеты для микроволновки,7401,403,Товары для дома,"Является источником важных нутриентов, необходимых для роста и развития детей.",2005-08-11,2029-01-03,4.76,Sold
73,Сметана,8386,691,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2003-07-10,2009-02-13,2.8,In Stock
74,Подольская,2241,663,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2017-01-03,2018-02-01,1.28,Pending
75,Подносы,8573,443,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2022-02-15,2026-03-03,3.3,New
76,Топинамбур,4894,362,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1999-02-04,2016-04-08,0.68,Temporarily Unavailable
77,Соевый напиток,9556,706,Напитки,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2005-03-18,2029-02-09,2.44,Refunded
78,Тушенка,6457,897,Мясо,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2021-07-07,2023-12-10,1.16,New
79,Хурма,2114,659,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2017-02-25,2027-01-24,3.57,Refunded
80,Пакеты для барбекю,8772,987,Товары для дома,Является важным элементом спортивного питания для восстановления после тренировок.,2007-02-12,2017-02-04,2.41,Pending
81,Черника,9470,506,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2003-01-03,2018-11-03,0.31,Sold
82,Петрушка корневая,4468,297,Овощи,Помогает поддерживать нормальный уровень артериального давления.,2001-10-01,2026-01-02,2.94,Sold
83,Бекон,9966,919,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2013-01-05,2014-06-01,1.83,Returned
84,Моющее средство для стекол,2149,765,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,2003-01-01,2029-06-05,4.26,Cancelled
85,Манго,4731,504,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2011-06-13,2029-05-02,0.16,On Backorder
86,Косуля,5121,998,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-01-02,2024-01-01,1.03,Backorder
87,Помидор,9063,212,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2009-03-04,2021-04-01,2.35,Shipping
88,Простокваша,1639,977,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2007-04-16,2020-03-04,2.24,Cancelled
89,Кабачок,7555,806,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-04-14,2024-02-09,0.83,In Stock
90,Роллы с мясом,9841,223,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2009-02-03,2028-12-08,4.9,Temporarily Unavailable
91,Камамбер,3258,38,Молочные продукты,Поддерживает иммунитет и общее состояние здоровья.,2009-10-01,2029-02-05,4.88,Backorder
92,Салфетки влажные,5246,255,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,1995-02-03,2022-03-08,3.78,Cancelled
93,Тыква,6701,334,Овощи,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2022-09-24,2027-08-04,0.4,Pending
94,Варено-копченая колбаса,6341,793,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2014-07-06,2025-05-05,2.84,Sold
95,Сыворотка молочная,777,808,Бакалея,Отличается легкостью в переваривании и усвоении организмом.,2018-03-17,2025-07-17,4.91,Sold
96,Картофель,6473,473,Овощи,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1997-01-03,2023-08-04,4.45,Shipping
97,Помидор,4657,34,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,1994-01-03,2006-09-01,0.65,Pending
98,Масло сливочное,9856,539,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2003-01-10,2025-01-04,2.1,Available for Pickup
99,Курортная,8856,95,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,2012-01-26,2022-04-04,2.21,Awaiting Review
100,Клубника,4141,502,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2010-08-11,2017-02-07,2.23,Out of Stock
101,Red Bull,5718,925,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2010-07-05,2024-09-14,1.06,On Backorder
102,Адыгейский сыр,121,737,Молочные продукты,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1995-10-20,2018-02-01,3.12,Returned
103,Редис,3229,32,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-03-04,2026-07-07,4.3,Pending
104,Фета,1728,577,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",1993-04-03,2005-02-04,4.79,Delivered
105,Кефир,2666,647,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2018-01-04,2030-01-03,1.46,Delivered
106,Масло сливочное,2853,106,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1996-03-18,2002-02-14,0.68,Pending
107,Пахта,3000,55,Молочные продукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1991-01-25,2001-01-04,0.49,Sold
108,Йогурт питьевой,3929,511,Напитки,Помогает поддерживать нормальный уровень pH в организме.,1997-03-02,2012-05-01,3.42,Backorder
109,Сельдерей сушеный,196,571,Бакалея,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1992-02-08,1996-03-02,3.04,Shipping
110,Морковь,8624,14,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2002-08-01,2019-06-12,0.82,Cancelled
111,Российский сыр,3628,352,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1993-07-25,1994-02-07,4.96,Shipping
112,Кунжут белый,8720,205,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2021-03-07,2024-07-01,0.76,On Backorder
113,Мандарин,8333,524,Фрукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2004-08-01,2011-02-09,4.32,New
114,Тэфф,2110,557,Бакалея,Помогает сохранять бодрость и активность в течение дня.,1996-04-12,2029-04-03,0.6,Out of Stock
115,Базилик сушеный,9449,452,Бакалея,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1997-04-07,1998-03-21,3.81,In Stock
116,Рамбутан,7111,808,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,2013-05-13,2020-01-25,4.4,Awaiting Review
117,Швабра,4121,196,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1996-01-08,2026-05-03,4.1,Shipping
118,Апельсин,7510,565,Фрукты,Помогает поддерживать нормальный уровень pH в организме.,1993-03-08,2007-01-22,1.41,Pending
119,Каша из дробленной манной крупы,3548,869,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",1995-09-10,1998-01-01,0.23,Refunded
120,Катык,2766,2,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1999-06-15,2012-01-12,4.31,On Backorder
121,Байкал,3413,485,Напитки,Помогает укрепить иммунную систему и защитить организм от инфекций.,2003-07-03,2012-02-20,0.52,Shipping
122,Сергиево-Посадская,507,629,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1997-01-09,2013-02-08,0.23,Cancelled
123,Оленина,763,826,Мясо,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2006-03-19,2017-04-09,3.41,Refunded
124,Пакеты для музея,4132,777,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2002-04-22,2027-03-01,2.57,New
125,Рамбутан,2726,836,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2019-02-01,2026-03-08,1.6,Returned
126,Каша из теффа,2900,572,Бакалея,Может использоваться в косметических процедурах для увлажнения кожи.,2020-03-01,2025-01-03,2.32,Out of Stock
127,Куриные голени,8165,204,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",1994-04-01,2013-08-14,2.76,Delivered
128,Мыло твердое,3822,603,Товары для дома,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1996-01-22,2004-04-11,2.21,Returned
129,Пакеты пластиковые,806,965,Товары для дома,Способствует нормализации обмена веществ в организме.,2006-06-05,2013-04-10,1.51,Sold
130,Пакеты для хранения одежды,9187,577,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,2019-01-20,2022-01-01,1.87,Awaiting Review
131,Сок апельсиновый,1733,352,Напитки,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2022-02-27,2024-05-02,0.26,Cancelled
132,Фейхоа,9106,714,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2003-08-13,2010-01-03,1.39,Backorder
133,Куркума молотая,681,129,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,2002-04-15,2026-01-06,1.91,Available for Pickup
134,Моцарелла,9372,165,Молочные продукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1991-02-02,2008-04-09,0.59,Temporarily Unavailable
135,Миринда,7571,488,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1997-02-22,2002-03-08,2.73,Shipping
136,Шницель,3905,541,Мясо,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2006-01-06,2030-10-12,1.98,Sold
137,Голландский сыр,9265,306,Молочные продукты,Помогает поддерживать оптимальный вес и форму тела.,1993-08-19,1996-04-18,1.87,In Stock
138,Vittel,6743,114,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2003-07-04,2021-04-11,1.17,Cancelled
139,Приморская,5982,892,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2016-01-05,2017-01-02,2.96,New
140,Судакская,8984,304,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2006-03-01,2019-07-21,0.78,Backorder
141,Лен семена,2022,297,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,2009-07-01,2011-02-01,1.62,Cancelled
142,Камут,5720,34,Бакалея,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1994-03-14,2010-11-08,0.73,Pending
143,Куриные голени,6974,627,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,2004-05-01,2016-01-09,1.66,Shipping
144,Горох,393,643,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,1993-01-04,2022-04-09,2.17,Returned
145,Рязанская,1580,244,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2019-05-01,2022-01-02,3.37,Refunded
146,Бумажные полотенца,1088,786,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-09-10,2024-02-14,2.37,Delivered
147,Каша из дробленной кукурузной крупы,9253,818,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2015-03-06,2029-03-23,2.88,Cancelled
148,Ростовская,7634,563,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,2006-03-03,2027-01-06,1.44,New
149,Груша,3300,35,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2003-02-04,2025-05-10,4.9,Returned
150,Пакеты для Дня отца,3338,9,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2012-06-02,2025-01-01,1.52,On Backorder
151,Полба,3974,905,Бакалея,Отличается простотой в использовании и хранении.,2013-06-01,2019-04-11,2.78,Shipping
152,Хурма,969,139,Фрукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2020-01-06,2028-01-08,2.13,Out of Stock
153,Белый шоколад,5460,907,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2022-07-03,2029-04-08,0.91,New
154,Брюква,4105,681,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2013-02-03,2026-03-01,0.19,Out of Stock
155,Сангрия безалкогольная,7665,550,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2016-04-01,2023-03-22,0.48,Returned
156,Пакеты для хранения одежды,2797,603,Товары для дома,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1990-03-09,2029-02-05,1.02,Shipping
157,Клюква,3047,755,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2007-07-01,2013-06-03,1.37,Shipping
158,Отбивная,8887,716,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",2018-12-11,2022-03-16,2.04,Available for Pickup
159,Кровяная колбаса,4882,474,Мясо,Подходит для использования в качестве основы для смузи и коктейлей.,2010-02-01,2025-07-03,3.79,New
160,Растительное масло кукурузное,2609,560,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",1994-02-15,2011-11-02,2.84,Returned
161,Пунш фруктовый,8319,224,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1994-01-06,2020-02-23,0.92,In Stock
162,Цукини,4619,484,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-04-13,2021-03-01,4.25,Pending
163,Турнепс,2647,94,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2009-09-07,2022-01-26,2.52,Sold
164,Горчица зерновая,4223,139,Бакалея,Отличается хорошим сочетанием с различными специями и приправами.,2017-02-02,2030-04-12,0.15,In Stock
165,Челябинская,2793,983,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",2016-02-14,2030-03-01,4.13,New
166,Чечевица,8594,974,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2008-08-07,2018-01-02,4.34,Backorder
167,Мелисса сушеная,6095,281,Бакалея,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1992-09-22,1997-11-22,4.24,Cancelled
168,Темный шоколад,9021,768,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2008-05-23,2023-02-16,0.6,Backorder
169,Пылесос,6764,535,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2005-05-01,2012-07-04,2.41,Pending
170,Фета,2940,92,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-05-04,2016-01-08,0.54,Sold
171,Оленина,3280,962,Мясо,Помогает поддерживать нормальный уровень сахара в крови.,2019-05-09,2020-01-09,0.56,Returned
172,Помидор,1212,282,Овощи,Является неотъемлемой частью рациона многих народов мира.,2004-01-26,2013-02-06,3.12,Awaiting Review
173,Верблюжье молоко,5996,395,Молочные продукты,Отличается удобством использования и экономичностью в расходе.,1994-09-04,2016-03-05,0.06,New
174,Спаржа,4924,529,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,1991-03-14,2005-04-06,3.56,On Backorder
175,Ряженка,2377,81,Молочные продукты,"Является источником важных нутриентов, необходимых для роста и развития детей.",1994-07-09,2022-06-13,0.42,Returned
176,Цветная капуста,8321,324,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,1999-11-23,2004-01-19,3.17,Returned
177,Курт,2829,292,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1997-01-13,2030-03-01,4.07,Awaiting Payment
178,Мандарин,3543,345,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2011-01-05,2018-05-03,1.76,Refunded
179,Помидор,8057,626,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1990-01-03,2004-04-05,4.85,In Stock
180,Мелисса сушеная,452,834,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1991-04-11,2030-08-10,1.57,On Backorder
181,Молоко,8947,17,Молочные продукты,Является важным компонентом сбалансированного рациона питания.,2012-02-15,2030-02-12,4.3,New
182,Лопатка,2766,879,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2015-01-17,2016-02-04,1.23,Refunded
